version,No of total tests,No of new tests,Min,Max,Average,Median
25 Tablet,490,66,1,10,8.68867924528302,10.0
29 Tablet,319,1,1,14,9.49685534591195,13.0
19 Tablets,385,10,1,4,3.848,4
26 Tablet,333,40,1,11,7.84641638225256,11
18 Tablets,377,5,1,3,2.881720430107527,3.0
24 Tablet,448,38,1,9,7.939024390243903,9.0
21 Tablet,390,3,1,6,5.695090439276486,6
17 Tablets,372,8,1,2,1.9258241758241759,2.0
20 Tablets,391,7,1,5,4.7578125,5.0
16 for Tablets,368,28,1,1,1.0,1.0
30 Tablet,37,0,2,15,4.594594594594595,3
15 for Tablets,344,344,0,0,0,0
28 Tablet,345,4,1,13,8.6158357771261,12
23 Tablet,446,52,1,8,7.50253807106599,8.0
27 Tablet,372,37,1,12,7.922388059701492,12
22 Tablet,396,9,1,7,6.622739018087855,7
